lake_id,PCR_R2,RF_R2,XGB_R2,Best_Model
AL,0.147,0,0.005,PCR
BM,0.338,0.221,0.2,PCR
CR,0.019,0.08,0.063,Random Forest
SP,0.11,0.027,0.099,PCR
TR,0.303,0.159,0.159,PCR
