sampledate,depth,wtemp,o2
7/1/91,8,13.7,10.2
7/1/91,9,12.4,9.9
7/1/91,10,11.4,10.1
7/1/91,11,10.7,9.8
7/1/91,12,10.1,9.3
7/1/91,13,9.5,8.4
7/1/91,14,9.1,7.4
7/1/91,15,9,6.6
7/1/91,16,8.8,5.8
7/1/91,17,8.8,5.6
7/1/91,18,8.8,5.5
7/1/91,19,8.7,5.1
7/15/91,0,23.1,8.5
7/15/91,1,23.1,8.5
7/15/91,2,23.1,8.5
7/15/91,3,23.1,8.5
7/15/91,4,23,8.6
7/15/91,5,22.9,8.6
7/15/91,6,22.7,8.7
7/15/91,7,21.1,9.2
7/15/91,8,16.6,10
7/15/91,9,13.7,10.2
7/15/91,10,12.1,10.3
7/15/91,11,11,9.5
7/15/91,12,10.4,8.9
7/15/91,13,9.7,7.3
7/15/91,14,9.4,6.4
7/15/91,15,9.2,5.6
7/15/91,16,9,4.5
7/15/91,17,8.9,3.6
7/15/91,18,8.9,2.9
7/15/91,19,8.8,2.7
7/29/91,0,21.1,8
7/29/91,1,21.1,8
7/29/91,2,21.2,7.9
7/29/91,3,21.2,7.9
7/29/91,4,21.3,7.9
7/29/91,5,21.3,7.9
7/29/91,6,21.3,7.9
7/29/91,7,21.3,7.9
7/29/91,8,20,8.7
7/29/91,9,15.1,9.6
7/29/91,10,13.5,10.1
7/29/91,11,11.8,9.2
7/29/91,12,10.7,7.9
7/29/91,13,10.1,6.6
7/29/91,14,9.7,5.1
7/29/91,15,9.4,3.8
7/29/91,16,9.1,2.6
7/29/91,17,9,1.7
7/29/91,18,9,1.2
7/29/91,19,8.9,0.7
8/14/91,0,23.1,8.7
8/14/91,1,23.1,8.7
8/14/91,2,23.1,8.8
8/14/91,3,23,8.8
8/14/91,4,22.2,9
8/14/91,5,22,9
8/14/91,6,21.9,9.1
8/14/91,7,21.7,9
8/14/91,8,19.9,9.1
8/14/91,9,17.6,10
8/14/91,10,13.9,10.5
8/14/91,11,12.3,9.9
8/14/91,12,11.3,7.9
8/14/91,13,10.3,5.6
8/14/91,14,9.8,3.8
8/14/91,15,9.5,2.5
8/14/91,16,9.1,0.9
8/14/91,17,9,0.4
8/14/91,18,9,0.3
8/14/91,19,8.9,0.3
8/27/91,0,22.1,8.7
8/27/91,1,22.1,8.7
8/27/91,2,22,8.7
8/27/91,3,22,8.7
8/27/91,4,22,8.7
8/27/91,5,21.9,8.7
8/27/91,6,21.9,8.7
8/27/91,7,21.9,8.7
8/27/91,8,21.8,8.7
8/27/91,9,20.4,8.8
8/27/91,10,14.2,10.4
8/27/91,11,13,9.3
8/27/91,12,11.5,6.7
8/27/91,13,10.7,4.7
8/27/91,14,9.9,2.8
8/27/91,15,9.4,0.9
8/27/91,16,9.2,0.2
8/27/91,17,9.1,0.1
8/27/91,18,9,0.1
8/27/91,19,8.9,0.1
9/9/91,0,20.1,8.2
9/9/91,1,20.1,8.2
9/9/91,2,20.1,8.2
9/9/91,3,20.1,8.2
9/9/91,4,20.1,8.2
9/9/91,5,20.1,8.2
9/9/91,6,20.1,8.2
9/9/91,7,20.1,8.2
9/9/91,8,20.1,8.2
9/9/91,9,20.1,8.2
9/9/91,10,17.6,8.2
9/9/91,11,13.4,7.7
9/9/91,12,11.5,5
9/9/91,13,10.6,2
9/9/91,14,9.9,0.7
9/9/91,15,9.6,0.2
9/9/91,16,9.3,0.1
9/9/91,17,9.2,0.1
9/9/91,18,9.1,0.1
9/9/91,19,9.1,0.1
9/24/91,0,14.5,8.5
9/24/91,1,14.5,8.5
9/24/91,2,14.5,8.5
9/24/91,3,14.5,8.5
9/24/91,4,14.5,8.5
9/24/91,5,14.5,8.5
9/24/91,6,14.5,8.5
9/24/91,7,14.5,8.5
9/24/91,8,14.5,8.5
9/24/91,9,14.5,8.5
9/24/91,10,14.5,8.4
9/24/91,11,14.5,8.4
9/24/91,12,14.2,8.1
9/24/91,13,13.7,6.2
9/24/91,14,10.5,0.2
9/24/91,15,9.8,0.2
9/24/91,16,9.6,0.2
9/24/91,17,9.3,0.2
9/24/91,18,9.3,0.2
9/24/91,19,9.2,0.2
10/7/91,0,11.3,
10/7/91,1,11.3,
10/7/91,2,11.3,
10/7/91,3,11.3,
10/7/91,4,11.3,
10/7/91,5,11.3,
10/7/91,6,11.3,
10/7/91,7,11.3,
10/7/91,8,11.3,
10/7/91,9,11.2,
10/7/91,10,11.2,
10/7/91,11,11.2,
10/7/91,12,11.2,
10/7/91,13,11.2,
10/7/91,14,11.2,
10/7/91,15,11,
10/7/91,16,11,
10/7/91,17,10.8,
10/7/91,18,10.5,
10/7/91,19,9.4,
10/29/91,0,8.9,11.3
10/29/91,1,8.8,11.5
10/29/91,2,8.5,11.6
10/29/91,3,8.4,11.6
10/29/91,4,8.4,11.7
10/29/91,5,8.4,11.7
10/29/91,6,8.4,11.7
10/29/91,7,8.3,11.7
10/29/91,8,8.3,11.7
10/29/91,9,8.3,11.7
10/29/91,10,8.3,11.6
10/29/91,11,8.3,11.6
10/29/91,12,8.3,11.6
10/29/91,13,8.3,11.6
10/29/91,14,8.3,11.6
10/29/91,15,8.3,11.6
10/29/91,16,8.3,11.5
10/29/91,17,8.3,11.5
10/29/91,18,8.3,11.5
10/29/91,19,8.3,11.5
1/13/92,0,0.6,13.9
1/13/92,1,1.2,12.8
1/13/92,2,1.5,12.2
1/13/92,3,1.6,12
1/13/92,4,1.7,11.9
1/13/92,5,1.8,11.8
1/13/92,6,1.9,11.7
1/13/92,7,2,11.6
1/13/92,8,2.1,11.2
1/13/92,9,2.2,10.9
1/13/92,10,2.3,10.6
1/13/92,11,2.4,10.6
1/13/92,12,2.5,9.6
1/13/92,13,2.6,8.2
1/13/92,14,2.8,7.7
1/13/92,15,2.9,6.1
1/13/92,16,3,5.9
1/13/92,17,3.3,2.1
1/13/92,18,3.4,0.6
2/25/92,0,0.2,13.3
2/25/92,1,0.6,12.9
2/25/92,2,1.5,11.7
2/25/92,3,1.8,11
2/25/92,4,2,10.8
2/25/92,5,2,10.7
2/25/92,6,2.1,10.4
2/25/92,7,2.2,10.2
2/25/92,8,2.3,9.7
2/25/92,9,2.6,8.8
2/25/92,10,2.8,8.6
2/25/92,11,2.8,8.6
2/25/92,12,2.9,7.7
2/25/92,13,3,6.4
2/25/92,14,3.2,5.1
2/25/92,15,3.3,4.4
2/25/92,16,3.5,2.4
2/25/92,17,3.8,0.7
2/25/92,18,3.9,0.5
2/25/92,19,4.1,0.1
3/27/92,0,0.2,16.3
3/27/92,1,1.6,13.9
3/27/92,2,2.2,13.3
3/27/92,3,2.3,12.8
3/27/92,4,2.5,11.3
3/27/92,5,2.5,10.9
3/27/92,6,2.5,10.6
3/27/92,7,2.6,10.4
3/27/92,8,2.7,9.4
3/27/92,9,2.8,8.2
3/27/92,10,3,7.1
3/27/92,11,3.1,7
3/27/92,12,3.2,5.2
3/27/92,13,3.3,4.7
3/27/92,14,3.5,4.6
3/27/92,15,3.6,4.6
3/27/92,16,3.8,1
3/27/92,17,4,0.2
3/27/92,18,4.1,0.2
3/27/92,19,4.4,0
5/5/92,0,6.2,11.3
5/5/92,1,6.1,11.4
5/5/92,2,6,11.5
5/5/92,3,6,11.5
5/5/92,4,6,11.5
5/5/92,5,6,11.5
5/5/92,6,5.9,11.6
5/5/92,7,5.9,11.6
5/5/92,8,5.9,11.6
5/5/92,9,5.9,11.6
5/5/92,10,5.9,11.6
5/5/92,11,5.9,11.6
5/5/92,12,5.8,11.6
5/5/92,13,5.8,11.6
5/5/92,14,5.8,11.5
5/5/92,15,5.8,11.5
5/5/92,16,5.8,11.5
5/5/92,17,5.8,11.5
5/5/92,18,5.7,11.4
5/5/92,19,5.7,11.4
5/20/92,0,14.3,11.4
5/20/92,1,14.1,11.5
5/20/92,2,13.8,11.6
5/20/92,3,13.7,11.6
5/20/92,4,13.6,11.6
5/20/92,5,13,11.8
5/20/92,6,12,12.4
5/20/92,7,11.4,12.5
5/20/92,8,9.9,13.4
5/20/92,9,9.1,13.3
5/20/92,10,8.7,13
5/20/92,11,8.2,11.9
5/20/92,12,8,11.4
5/20/92,13,7.8,11.3
5/20/92,14,7.7,11.1
5/20/92,15,7.5,10.3
5/20/92,16,7.4,9.9
5/20/92,17,7.4,9.5
5/20/92,18,7.3,9.1
5/20/92,19,7.3,8.9
6/3/92,0,19.5,9.5
6/3/92,1,19.2,9.4
6/3/92,2,19.1,9.4
6/3/92,3,18.8,9.4
6/3/92,4,16.5,9.9
6/3/92,5,16.2,9.9
6/3/92,6,15.1,10
6/3/92,7,13,11.1
6/3/92,8,11.4,11.5
6/3/92,9,10.3,11.3
6/3/92,10,9.6,11
6/3/92,11,9,10.8
6/3/92,12,8.6,10.3
6/3/92,13,8.4,10.1
6/3/92,14,8.1,9.1
6/3/92,15,7.9,7.7
6/3/92,16,7.8,6.9
6/3/92,17,7.7,6.1
6/3/92,18,7.7,5.6
6/3/92,19,7.6,5
6/18/92,0,18.8,8.6
6/18/92,1,18.8,8.6
6/18/92,2,18.8,8.6
6/18/92,3,18.8,8.6
6/18/92,4,18.8,8.6
6/18/92,5,18.8,8.6
6/18/92,6,18.6,8.7
6/18/92,7,18.5,8.9
6/18/92,8,13.8,10.8
6/18/92,9,12.5,11
6/18/92,10,11.6,10.8
6/18/92,11,9.9,10.1
6/18/92,12,9.6,9.9
6/18/92,13,9,8.8
6/18/92,14,8.4,6.7
6/18/92,15,8.3,5.1
6/18/92,16,8.1,4.4
6/18/92,17,8.1,4
6/18/92,18,8,3.5
6/18/92,19,8,2.8
7/8/92,0,18,9.4
7/8/92,1,17.9,9.5
7/8/92,2,17.8,9.5
7/8/92,3,17.3,9.6
7/8/92,4,17.1,9.6
7/8/92,5,16.3,9.7
7/8/92,6,16.3,9.7
7/8/92,7,16.2,9.7
7/8/92,8,16.1,9.6
7/8/92,9,16.1,9.6
7/8/92,10,15.8,9.5
7/8/92,11,11.4,9.3
7/8/92,12,10.3,8.3
7/8/92,13,9.2,6.5
7/8/92,14,8.8,4.7
7/8/92,15,8.5,3.3
7/8/92,16,8.3,1
7/8/92,17,8.2,1
7/8/92,18,8.2,0.8
7/8/92,19,8.2,0.3
7/14/92,0,19.7,9.2
7/14/92,1,19.1,9.3
7/14/92,2,18.8,9.3
7/14/92,3,18.6,9.3
7/14/92,4,18.4,9.3
7/14/92,5,17.9,9.7
7/14/92,6,17.1,9.9
7/14/92,7,16.7,9.8
7/14/92,8,16.3,9.5
7/14/92,9,15.9,8.9
7/14/92,10,14.2,9
7/14/92,11,11.8,8.7
7/14/92,12,10,7.5
7/14/92,13,9.2,5.4
7/14/92,14,8.7,3.7
7/14/92,15,8.5,2.3
7/14/92,16,8.4,1.3
7/14/92,17,8.3,0.8
7/14/92,18,8.3,0.7
7/14/92,19,8.2,0.5
7/30/92,0,21.2,8.6
7/30/92,1,20.5,8.6
7/30/92,2,20.4,8.7
7/30/92,3,20.2,8.7
7/30/92,4,20.1,8.7
7/30/92,5,20.1,8.7
7/30/92,6,20,8.7
7/30/92,7,19.2,9
7/30/92,8,17.7,9.4
7/30/92,9,16.7,9.1
7/30/92,10,15.4,8.8
7/30/92,11,12.5,8
7/30/92,12,11,6.8
7/30/92,13,9.7,4.6
7/30/92,14,9.2,2.5
7/30/92,15,8.9,2
7/30/92,16,8.6,0.7
7/30/92,17,8.5,0.4
7/30/92,18,8.5,0.4
7/30/92,19,8.4,0.2
8/12/92,0,20.7,8.6
8/12/92,1,20.7,8.7
8/12/92,2,20.7,8.7
8/12/92,3,20.7,8.7
8/12/92,4,20.7,8.7
8/12/92,5,20.7,8.7
8/12/92,6,20.7,8.7
8/12/92,7,20.7,8.8
8/12/92,8,19.5,9.1
8/12/92,9,17.3,9.3
8/12/92,10,15.4,9.2
8/12/92,11,12.8,8.1
8/12/92,12,11.6,6.6
8/12/92,13,10.3,3.7
8/12/92,14,9.5,1.6
8/12/92,15,9,0.4
8/12/92,16,8.8,0.1
8/12/92,17,8.7,0.1
8/12/92,18,8.6,0.1
8/12/92,19,8.6,0.1
8/25/92,0,20.3,8.4
8/25/92,1,20.3,8.4
8/25/92,2,20.3,8.4
8/25/92,3,20.3,8.4
8/25/92,4,20.3,8.4
8/25/92,5,20.3,8.4
8/25/92,6,20.3,8.4
8/25/92,7,20.3,8.4
8/25/92,8,20.2,8.3
8/25/92,9,18.5,8.1
8/25/92,10,14,8.2
8/25/92,11,12.1,5.3
8/25/92,12,11.2,4.6
8/25/92,13,10.4,1.9
8/25/92,14,9.6,0.5
8/25/92,15,9.2,0.3
8/25/92,16,8.9,0.1
8/25/92,17,8.8,0.1
8/25/92,18,8.7,0.1
8/25/92,19,8.7,0.1
9/9/92,0,17,8.4
9/9/92,1,17.1,8.4
9/9/92,2,17.2,8.4
9/9/92,3,17.2,8.3
9/9/92,4,17.2,8.3
9/9/92,5,17.2,8.3
9/9/92,6,17.2,8.3
9/9/92,7,17.2,8.3
9/9/92,8,17.2,8.3
9/9/92,9,17.2,8.3
9/9/92,10,17.2,8.3
9/9/92,11,17.1,8.3
9/9/92,12,15.7,6.7
9/9/92,13,11.1,1.8
9/9/92,14,9.9,0.2
9/9/92,15,9.2,0.1
9/9/92,16,8.9,0.1
9/9/92,17,8.8,0.1
9/9/92,18,8.7,0.1
9/9/92,19,8.6,0.1
9/23/92,0,15.1,9
9/23/92,1,15.2,8.9
9/23/92,2,15.2,8.9
9/23/92,3,15.2,8.9
9/23/92,4,15.2,8.9
9/23/92,5,15.2,8.9
9/23/92,6,15.2,8.9
9/23/92,7,15.2,8.9
9/23/92,8,15.1,8.9
9/23/92,9,15.1,8.9
9/23/92,10,15.1,8.9
9/23/92,11,15.1,8.9
9/23/92,12,15,8.7
9/23/92,13,14.6,8
9/23/92,14,11,0.3
9/23/92,15,9.5,0.2
9/23/92,16,9,0.1
9/23/92,17,8.8,0.1
9/23/92,18,8.8,0.1
9/23/92,19,8.7,0.1
10/7/92,0,13.9,9.3
10/7/92,1,13.9,9.3
10/7/92,2,13.8,9.2
10/7/92,3,13.8,9.2
10/7/92,4,13.7,9.2
10/7/92,5,13.7,9.2
10/7/92,6,13.7,9.2
10/7/92,7,13.7,9.2
10/7/92,8,13.7,9.1
10/7/92,9,13.7,9.1
10/7/92,10,13.7,9.1
10/7/92,11,13.7,9.1
10/7/92,12,13.7,9
10/7/92,13,13.6,8.6
10/7/92,14,13.5,7.9
10/7/92,15,12.8,5.6
10/7/92,16,12,3.1
10/7/92,17,10,0.3
10/7/92,18,9.4,0.2
10/7/92,19,9,0.2
10/19/92,0,9.2,9.9
10/19/92,1,9.3,9.9
10/19/92,2,9.2,10
10/19/92,3,9.3,10
10/19/92,4,9.3,10
10/19/92,5,9.3,10
10/19/92,6,9.2,10
10/19/92,7,9.2,10
10/19/92,8,9.2,10
10/19/92,9,9.2,10
10/19/92,10,9.2,10
10/19/92,11,9.2,10
10/19/92,12,9.2,10
10/19/92,13,9.2,10
10/19/92,14,9.2,10
10/19/92,15,9.1,10
10/19/92,16,9.1,10
10/19/92,17,9,10
10/19/92,18,9,10
10/19/92,19,9,10
11/11/92,0,5.2,11.7
11/11/92,1,5,11.9
11/11/92,2,4.9,11.9
11/11/92,3,4.9,11.9
11/11/92,4,4.9,11.9
11/11/92,5,4.9,12
11/11/92,6,4.9,12
11/11/92,7,4.9,12
11/11/92,8,4.8,12
11/11/92,9,4.8,12
11/11/92,10,4.8,12
11/11/92,11,4.8,12
11/11/92,12,4.8,12
11/11/92,13,4.8,12
11/11/92,14,4.8,12
11/11/92,15,4.8,12
11/11/92,16,4.8,12
11/11/92,17,4.8,12
11/11/92,18,4.7,12
11/11/92,19,4.7,12
1/6/93,0,0.9,14.4
1/6/93,1,1.4,13.7
1/6/93,2,2.1,13
1/6/93,3,2.3,12.5
1/6/93,4,2.5,12.2
1/6/93,5,2.6,12
1/6/93,6,2.7,11.9
1/6/93,7,2.8,11.7
1/6/93,8,2.9,11.6
1/6/93,9,3,11.5
1/6/93,10,3,11.4
1/6/93,11,3.2,10.9
1/6/93,12,3.3,10.3
1/6/93,13,3.4,9.4
1/6/93,14,3.5,8.6
1/6/93,15,3.6,7.2
1/6/93,16,3.8,6.1
1/6/93,17,3.9,3.8
1/6/93,18,4,0.7
1/6/93,19,4.1,0.3
2/22/93,0,0.1,15.2
2/22/93,1,1.4,13
2/22/93,2,2.4,11.6
2/22/93,3,2.6,11.2
2/22/93,4,2.8,11
2/22/93,5,2.9,10.7
2/22/93,6,3,10.5
2/22/93,7,3.1,10.1
2/22/93,8,3.2,9.7
2/22/93,9,3.4,9.4
2/22/93,10,3.5,9.3
2/22/93,11,3.6,8.8
2/22/93,12,3.7,8
2/22/93,13,3.8,6.2
2/22/93,14,3.9,4.6
2/22/93,15,4,4.5
2/22/93,16,4.2,1.4
2/22/93,17,4.3,0.5
2/22/93,18,4.3,0.3
2/22/93,19,4.5,0.3
3/24/93,0,0.1,16.6
3/24/93,1,1.2,14.7
3/24/93,2,2.6,12.9
3/24/93,3,2.9,11.8
3/24/93,4,3.1,11.2
3/24/93,5,3.2,10.8
3/24/93,6,3.2,10.4
3/24/93,7,3.3,10.2
3/24/93,8,3.4,9.5
3/24/93,9,3.5,8.8
3/24/93,10,3.6,9
3/24/93,11,3.7,8
3/24/93,12,3.8,6.7
3/24/93,13,3.9,4.3
3/24/93,14,4,3.9
3/24/93,15,4.2,3.7
3/24/93,16,4.3,0.7
3/24/93,17,4.3,0.2
3/24/93,18,4.4,0.2
3/24/93,19,4.6,0.2
5/5/93,0,7.4,10.8
5/5/93,1,6.8,11.3
5/5/93,2,5.1,12
5/5/93,3,4.9,12.2
5/5/93,4,4.8,12.3
5/5/93,5,4.7,12.3
5/5/93,6,4.6,12.3
5/5/93,7,4.5,12.2
5/5/93,8,4.4,12.2
5/5/93,9,4.4,12.1
5/5/93,10,4.4,12.1
5/5/93,11,4.3,12
5/5/93,12,4.3,11.8
5/5/93,13,4.4,11.7
5/5/93,14,4.3,11.6
5/5/93,15,4.4,11.2
5/5/93,16,4.4,10.3
5/5/93,17,4.4,10.1
5/5/93,18,4.4,5.5
5/5/93,19,4.4,4.8
5/18/93,0,11.7,11
5/18/93,1,11.7,11.1
5/18/93,2,11.7,11.1
5/18/93,3,11.6,11.1
5/18/93,4,11.6,11.1
5/18/93,5,11.5,11.2
5/18/93,6,10.7,11.4
5/18/93,7,10.4,11.7
5/18/93,8,8.2,12
5/18/93,9,7,10.9
5/18/93,10,6.5,10.5
5/18/93,11,6.3,10.5
5/18/93,12,6,10.2
5/18/93,13,5.9,10
5/18/93,14,5.8,9.9
5/18/93,15,5.6,9.3
5/18/93,16,5.4,8.9
5/18/93,17,5.4,8.5
5/18/93,18,5.4,8.5
6/2/93,0,12.7,9.8
6/2/93,1,12.7,9.8
6/2/93,2,12.6,9.9
6/2/93,3,12.6,9.9
6/2/93,4,12.6,9.9
6/2/93,5,12.5,9.9
6/2/93,6,12.5,9.9
6/2/93,7,12.4,10
6/2/93,8,12.4,10
6/2/93,9,12.2,10.1
6/2/93,10,8.6,10.1
6/2/93,11,8.3,10.2
6/2/93,12,6.6,9.4
6/2/93,13,6.3,8.5
6/2/93,14,6.1,7.8
6/2/93,15,6,7.3
6/2/93,16,5.9,6.9
6/2/93,17,5.9,6.9
6/2/93,18,5.9,6.9
6/15/93,0,17,9
6/15/93,1,17.1,9
6/15/93,2,17.1,9
6/15/93,3,17,9
6/15/93,4,16.8,9
6/15/93,5,15.7,9.3
6/15/93,6,15.4,9.5
6/15/93,7,14.8,9.5
6/15/93,8,13.2,9.8
6/15/93,9,11.7,9.8
6/15/93,10,10.7,9.9
6/15/93,11,8.7,9.9
6/15/93,12,7.7,9.2
6/15/93,13,7.1,8.5
6/15/93,14,7.1,8.2
6/15/93,15,6.9,7.8
6/15/93,16,6.7,7.3
6/15/93,17,6.5,6.7
6/15/93,18,6.5,6.5
6/15/93,19,6.4,3.5
6/28/93,0,18.3,8.9
6/28/93,1,18.3,8.8
6/28/93,2,18.3,8.9
6/28/93,3,18,9
6/28/93,4,17.9,9.1
6/28/93,5,17.9,9.2
6/28/93,6,17.8,9.1
6/28/93,7,17,9.7
6/28/93,8,15.3,10
6/28/93,9,13.4,10
6/28/93,10,11.7,9.8
6/28/93,11,10.2,9.5
6/28/93,12,8.7,8.8
6/28/93,13,7.7,8
6/28/93,14,7.3,6.9
6/28/93,15,7,6.2
6/28/93,16,6.9,5.6
6/28/93,17,6.9,5.4
6/28/93,18,6.8,5
6/28/93,19,6.7,1.8
7/14/93,0,20.8,8.5
7/14/93,1,20.8,8.4
7/14/93,2,20.4,8.5
7/14/93,3,20.2,8.6
7/14/93,4,20.1,8.6
7/14/93,5,20.1,8.6
7/14/93,6,20,8.6
7/14/93,7,19.8,8.6
7/14/93,8,19,8.8
7/14/93,9,17.1,9.2
7/14/93,10,14.1,9.5
7/14/93,11,11.1,9.3
7/14/93,12,9.4,8.6
7/14/93,13,8.4,7.4
7/14/93,14,7.7,5.8
7/14/93,15,7.3,4.3
7/14/93,16,7.2,3.5
7/14/93,17,7.1,2.9
7/14/93,18,7,2.5
7/14/93,19,7,2.4
7/28/93,0,21.5,8.1
7/28/93,1,21.5,8.1
7/28/93,2,21.6,8.1
7/28/93,3,21.6,8.1
7/28/93,4,21.6,8.1
7/28/93,5,21.5,8.1
7/28/93,6,21.5,8.1
7/28/93,7,21.5,8.1
7/28/93,8,21.4,8.1
7/28/93,9,20.1,8.5
7/28/93,10,16.5,8.9
7/28/93,11,12.4,9.2
7/28/93,12,10.8,8.7
7/28/93,13,9.3,7.5
7/28/93,14,8.1,4.6
7/28/93,15,7.7,3.1
7/28/93,16,7.4,1.9
7/28/93,17,7.3,1.3
7/28/93,18,7.2,0.9
7/28/93,19,7.1,0.4
8/12/93,0,22.5,8.9
8/12/93,1,22.5,9
8/12/93,2,22.5,9
8/12/93,3,21.3,9.3
8/12/93,4,21.1,9.3
8/12/93,5,20.8,9.3
8/12/93,6,20.6,9.2
8/12/93,7,20.4,9.2
8/12/93,8,20.2,9.2
8/12/93,9,19.5,8.6
8/12/93,10,16.4,7.6
8/12/93,11,12.3,7.8
8/12/93,12,10.4,7.1
8/12/93,13,9.2,5.1
8/12/93,14,8.1,2.4
8/12/93,15,7.6,1
8/12/93,16,7.5,0.7
8/12/93,17,7.3,0.6
8/12/93,18,7.2,0.7
8/12/93,19,7.2,0.6
8/26/93,0,23.4,8.3
8/26/93,1,23.4,8.4
8/26/93,2,23.3,8.4
8/26/93,3,23.1,8.5
8/26/93,4,22.7,8.6
8/26/93,5,22.3,8.6
8/26/93,6,22.2,8.6
8/26/93,7,21.9,8.5
8/26/93,8,21.8,8.5
8/26/93,9,19.6,7.1
8/26/93,10,17.3,6.4
8/26/93,11,13.7,6.2
8/26/93,12,10.5,4.6
8/26/93,13,9.4,2.9
8/26/93,14,8.3,0.6
8/26/93,15,7.9,0.5
8/26/93,16,7.7,0.5
8/26/93,17,7.5,0.4
8/26/93,18,7.4,0.4
8/26/93,19,7.3,0.4
9/8/93,0,18.7,8.2
9/8/93,1,18.8,8.2
9/8/93,2,18.8,8.2
9/8/93,3,18.8,8.2
9/8/93,4,18.8,8.2
9/8/93,5,18.8,8.2
9/8/93,6,18.8,8.2
9/8/93,7,18.7,8.2
9/8/93,8,18.7,8.2
9/8/93,9,18.6,8.1
9/8/93,10,18.5,8
9/8/93,11,14.6,4.8
9/8/93,12,11.3,3.8
9/8/93,13,9.8,1.8
9/8/93,14,8.6,0.6
9/8/93,15,8.1,0.7
9/8/93,16,7.7,0.5
9/8/93,17,7.5,0.5
9/8/93,18,7.4,0.4
9/8/93,19,7.4,0.4
9/21/93,0,15.2,8.4
9/21/93,1,15.2,8.3
9/21/93,2,15.2,8.3
9/21/93,3,15.2,8.3
9/21/93,4,15.2,8.3
9/21/93,5,15.2,8.3
9/21/93,6,15.2,8.3
9/21/93,7,15.2,8.3
9/21/93,8,15.2,8.3
9/21/93,9,15.2,8.3
9/21/93,10,15.2,8.3
9/21/93,11,15.2,8.2
9/21/93,12,14.5,6.4
9/21/93,13,10.7,0.4
9/21/93,14,9.2,0.3
9/21/93,15,8.1,0.3
9/21/93,16,7.8,0.3
9/21/93,17,7.6,0.3
9/21/93,18,7.4,0.3
9/21/93,19,7.4,0.3
10/4/93,0,11.4,9.4
10/4/93,1,11.4,9.4
10/4/93,2,11.4,9.4
10/4/93,3,11.4,9.3
10/4/93,4,11.4,9.3
10/4/93,5,11.4,9.3
10/4/93,6,11.4,9.3
10/4/93,7,11.4,9.3
10/4/93,8,11.4,9.3
10/4/93,9,11.4,9.3
10/4/93,10,11.4,9.3
10/4/93,11,11.4,9.3
10/4/93,12,11.4,9.2
10/4/93,13,11.4,9.1
10/4/93,14,11.4,9.2
10/4/93,15,11.3,9
10/4/93,16,9.5,2.7
10/4/93,17,8.2,0.3
10/4/93,18,7.6,0.2
10/4/93,19,7.7,0.2
10/19/93,0,9.7,8.8
10/19/93,1,9.7,8.8
10/19/93,2,9.6,8.8
10/19/93,3,9.4,8.9
10/19/93,4,9.3,8.9
10/19/93,5,9.3,8.8
10/19/93,6,9.3,8.8
10/19/93,7,9.3,8.8
10/19/93,8,9.3,8.8
10/19/93,9,9.2,8.7
10/19/93,10,9.2,8.7
10/19/93,11,9.2,8.7
10/19/93,12,9.2,8.7
10/19/93,13,9.2,8.7
10/19/93,14,9.2,8.7
10/19/93,15,9.2,8.6
10/19/93,16,9.2,8.4
10/19/93,17,9.2,8.2
10/19/93,18,9.1,8
10/19/93,19,9.1,7.9
11/10/93,0,3.9,11.1
11/10/93,1,3.8,11.1
11/10/93,2,3.9,11
11/10/93,3,3.9,11
11/10/93,4,3.9,11
11/10/93,5,3.8,11
11/10/93,6,3.8,11
11/10/93,7,3.8,11
11/10/93,8,3.8,11
11/10/93,9,3.8,11
11/10/93,10,3.8,11
11/10/93,11,3.8,11
11/10/93,12,3.8,10.9
11/10/93,13,3.8,10.9
11/10/93,14,3.7,10.9
11/10/93,15,3.7,10.9
11/10/93,16,3.7,11
11/10/93,17,3.7,10.9
11/10/93,18,3.7,10.9
11/10/93,19,3.7,10.9
1/11/94,0,0,15.1
1/11/94,1,0.8,13.4
1/11/94,2,1,12.8
1/11/94,3,1.1,12.2
1/11/94,4,1.1,12.2
1/11/94,5,1.2,12
1/11/94,6,1.5,12
1/11/94,7,1.7,11.9
1/11/94,8,1.9,11.6
1/11/94,9,1.9,11.4
1/11/94,10,2,10.9
1/11/94,11,2,10.4
1/11/94,12,2.1,9.8
1/11/94,13,2.1,9
1/11/94,14,2.2,8.3
1/11/94,15,2.4,7.6
1/11/94,16,2.6,7
1/11/94,17,2.8,5.1
1/11/94,18,3,2
1/11/94,19,3,0.5
2/24/94,0,0,14.9
2/24/94,1,1.6,12.2
2/24/94,2,1.9,11.9
2/24/94,3,2,11.8
2/24/94,4,2,11.8
2/24/94,5,2,11.2
2/24/94,6,2,10.9
2/24/94,7,2,10.5
2/24/94,8,2.2,10.2
2/24/94,9,2.3,9.2
2/24/94,10,2.4,9
2/24/94,11,2.5,8.6
2/24/94,12,2.6,7.7
2/24/94,13,2.7,6.6
2/24/94,14,2.8,5.5
2/24/94,15,3,5.3
2/24/94,16,3,2.1
2/24/94,17,3.1,0.3
2/24/94,18,3.3,0.2
2/24/94,19,3.6,0.2
3/30/94,0,0.2,12.2
3/30/94,1,2.1,12.4
3/30/94,2,3.5,11.6
3/30/94,3,3.7,11.5
3/30/94,4,3.7,11.4
3/30/94,5,3.7,11.4
3/30/94,6,3.7,11.4
3/30/94,7,3.7,11.4
3/30/94,8,3.7,11.4
3/30/94,9,3.7,11.4
3/30/94,10,3.7,11.3
3/30/94,11,3.7,9.2
3/30/94,12,3.6,6.6
