lake_id,year,observed_cvht,pred_rf,pred_xgb,split
AL,2016,0,3.3157138888888866,1.8328453302383423,80_20_test
AL,2017,0.5,4.109658333333334,3.5702741146087646,80_20_test
AL,2018,0,3.27306111111111,2.961346387863159,80_20_test
AL,2019,3.5,3.656088888888887,3.304892063140869,80_20_test
AL,2020,6,3.26068611111111,2.8467581272125244,80_20_test
AL,2021,0,3.6921833333333334,4.436744689941406,80_20_test
AL,2022,0,5.208147222222225,5.915234565734863,80_20_test
AL,2023,2,3.24166111111111,2.0718088150024414,80_20_test
AL,2024,0,3.24166111111111,2.0718088150024414,80_20_test
BM,2016,10.5,10.119083333333336,9.745977401733398,80_20_test
BM,2017,12,8.464233333333334,6.539993762969971,80_20_test
BM,2018,19.5,12.523208333333343,11.224868774414062,80_20_test
BM,2019,13.5,14.694594444444448,15.785040855407715,80_20_test
BM,2020,16,13.026172222222234,15.785139083862305,80_20_test
BM,2021,8,9.54580833333333,10.56612491607666,80_20_test
BM,2022,6,7.77193333333332,5.585206985473633,80_20_test
BM,2023,17.5,11.87112500000001,15.79917049407959,80_20_test
BM,2024,4,11.87112500000001,15.79917049407959,80_20_test
CR,2016,24.666666666666664,26.2851319444445,23.60970115661621,80_20_test
CR,2017,20.5,27.347645833333363,28.049541473388672,80_20_test
CR,2018,21.5,29.800983333333416,31.0333251953125,80_20_test
CR,2019,26,31.105094444444482,30.854122161865234,80_20_test
CR,2020,22,31.358431944444476,30.876773834228516,80_20_test
CR,2021,14,31.200245833333344,29.996084213256836,80_20_test
CR,2022,17.333333333333332,30.532536111111142,28.36172866821289,80_20_test
CR,2023,18.5,29.86075555555561,29.864482879638672,80_20_test
CR,2024,18,29.86075555555561,29.864482879638672,80_20_test
SP,2016,25.5,19.134738888888887,16.16716766357422,80_20_test
SP,2017,24,19.199947222222217,16.344205856323242,80_20_test
SP,2018,22.5,21.684486111111074,22.857511520385742,80_20_test
SP,2019,21.833333333333336,23.12641111111109,22.7950382232666,80_20_test
SP,2020,25,21.937772222222197,24.212038040161133,80_20_test
SP,2021,14,21.02717777777777,20.77450180053711,80_20_test
SP,2022,19,19.574924999999986,18.09435272216797,80_20_test
SP,2023,23.5,20.11743611111109,19.484588623046875,80_20_test
SP,2024,19.5,20.11743611111109,19.484588623046875,80_20_test
TR,2016,61.33333333333333,54.227725000000056,50.089141845703125,80_20_test
TR,2017,64,54.77245555555553,52.087093353271484,80_20_test
TR,2018,64.5,60.486730555555546,63.551761627197266,80_20_test
TR,2019,68.5,64.53725277777772,62.51645278930664,80_20_test
TR,2020,71,60.33754444444443,63.86396408081055,80_20_test
TR,2021,53,58.22367499999996,63.422706604003906,80_20_test
TR,2022,51.33333333333333,56.191547222222205,52.793853759765625,80_20_test
TR,2023,65,58.99274166666664,59.301368713378906,80_20_test
TR,2024,46.5,58.99274166666664,59.301368713378906,80_20_test
