lake_id,model,hss,rpss,n_years
AL,Random Forest,-0.056818181818181795,0.11529999999999996,44
BM,PCR,0.25,0.53515,44
CR,Random Forest,0.07954545454545456,0.07012000000000018,44
SP,PCR,0.11363636363636365,0.34750000000000003,44
TR,PCR,-0.022727272727272704,0.37117,44
